City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
265,Luderitz,NA,-26.65,15.16,63.43,57,63,20.0,broken clouds
266,Kabalo,CD,-6.05,26.92,72.43,85,81,2.01,broken clouds
267,Iqaluit,CA,63.75,-68.51,19.4,73,75,2.24,broken clouds
268,Yelizavetino,RU,59.49,29.79,39.2,93,75,4.47,light intensity shower rain
269,Pytalovo,RU,57.07,27.91,44.55,93,42,8.23,scattered clouds
270,Kandrian,PG,-6.22,149.55,85.71,69,59,10.42,light rain
271,Khargone,IN,21.82,75.6,84.27,36,25,2.39,scattered clouds
272,Sarankhola,BD,22.31,89.79,85.93,67,26,5.41,scattered clouds
273,Vilhena,BR,-12.74,-60.15,67.77,96,100,5.79,light rain
274,Naze,JP,28.37,129.48,77.0,50,20,11.41,few clouds
275,Cherskiy,RU,68.75,161.3,13.53,95,25,3.56,scattered clouds
276,Dekar,BW,-21.53,21.93,75.88,29,35,6.51,scattered clouds
277,Maltahohe,NA,-24.83,16.98,72.19,21,20,8.05,few clouds
278,Mvuma,ZW,-19.28,30.53,65.64,56,23,7.45,few clouds
279,San Martin,AR,-33.08,-68.47,68.0,64,20,5.82,few clouds
280,Kanker,IN,20.27,81.49,84.24,48,14,4.05,few clouds
281,Miri,MY,4.41,114.01,82.4,83,40,6.93,moderate rain
282,Ha Giang,VN,22.83,104.98,85.75,39,62,3.18,broken clouds
283,Berbera,SO,10.44,45.01,84.06,52,12,3.04,few clouds
284,Grindavik,IS,63.84,-22.43,42.8,81,75,21.92,light intensity drizzle
285,Tezu,IN,27.92,96.17,82.06,71,49,2.51,light rain
286,Ust-Kuyga,RU,70.02,135.6,8.67,88,40,8.97,scattered clouds
287,Shache,CN,38.42,77.24,58.82,27,100,11.25,overcast clouds
288,Xuddur,SO,4.12,43.89,76.39,77,81,9.06,broken clouds
289,Champerico,GT,14.3,-91.92,66.99,97,44,4.59,light rain
290,Zarichne,UA,51.81,26.13,45.27,96,12,5.28,few clouds
291,Nishihara,JP,26.18,127.76,78.8,41,40,10.29,scattered clouds
292,Manali,IN,13.17,80.27,89.6,66,40,3.36,haze
293,Malanje,AO,-9.54,16.34,65.5,97,94,2.73,overcast clouds
294,Bol,TD,13.46,14.71,80.85,39,43,18.05,scattered clouds
295,Shimanovsk,RU,52.0,127.7,41.45,65,0,8.23,clear sky
296,Tommot,RU,58.96,126.29,34.68,87,21,3.76,few clouds
297,Bilibino,RU,68.05,166.44,18.21,88,11,1.28,few clouds
298,Dunedin,NZ,-45.87,170.5,59.0,74,100,24.0,light rain
299,Tuktoyaktuk,CA,69.45,-133.04,23.0,92,75,17.22,broken clouds
300,Tuatapere,NZ,-46.13,167.68,53.01,93,100,3.0,light rain
301,Rettikhovka,RU,44.17,132.77,46.45,56,31,10.92,scattered clouds
302,Znamenskoye,RU,57.13,73.83,29.73,97,100,13.35,overcast clouds
303,Faya,SA,18.39,42.45,57.2,25,0,1.03,clear sky
304,Yeniseysk,RU,58.45,92.17,29.37,92,100,10.4,overcast clouds
305,Pringsewu,ID,-5.36,104.97,79.52,79,100,8.61,light rain
306,Lata,PT,40.16,-8.33,63.0,81,99,18.01,overcast clouds
307,Chipata,ZM,-13.63,32.65,74.66,43,40,9.28,scattered clouds
308,Wasco,US,35.59,-119.34,64.4,67,1,5.82,clear sky
309,Arlit,NE,18.74,7.39,72.55,19,0,9.17,clear sky
310,Cherdyn,RU,60.4,56.48,33.51,93,100,6.06,overcast clouds
311,Praia Da Vitoria,PT,38.73,-27.07,64.4,77,40,15.32,scattered clouds
312,Pisco,PE,-13.7,-76.22,61.0,87,0,11.41,clear sky
313,Teya,RU,60.38,92.63,28.26,95,96,4.83,overcast clouds
314,Ambilobe,MG,-13.2,49.05,83.26,44,0,6.22,clear sky
315,Yar-Sale,RU,66.83,70.83,16.09,96,12,7.2,few clouds
316,Smithers,CA,54.78,-127.17,21.2,67,1,6.93,clear sky
317,Conde,BR,-7.26,-34.91,75.2,94,40,4.7,scattered clouds
318,Hithadhoo,MV,-0.6,73.08,83.37,76,29,9.82,scattered clouds
319,Portland,US,45.52,-122.68,44.6,52,20,12.75,few clouds
320,Tucuman,AR,-26.82,-65.22,75.2,83,40,8.05,scattered clouds
321,Orbetello,IT,42.44,11.22,51.8,87,40,3.36,scattered clouds
322,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,80,1,8.05,clear sky
323,Palmas Bellas,PA,9.23,-80.09,78.8,88,97,3.36,overcast clouds
324,Abrau-Dyurso,RU,44.69,37.59,51.8,93,20,6.71,few clouds
325,Grudziadz,PL,53.48,18.75,50.0,95,40,1.01,scattered clouds
326,Norilsk,RU,69.35,88.2,12.2,92,75,11.18,light snow
327,Erenhot,CN,43.65,111.98,56.44,34,0,9.37,clear sky
328,Lubango,AO,-14.92,13.49,64.36,58,42,0.89,scattered clouds
329,Sept-Iles,CA,50.2,-66.38,33.8,64,20,5.82,few clouds
330,Kloulklubed,PW,7.04,134.26,86.0,70,75,9.17,broken clouds
331,Olafsvik,IS,64.89,-23.71,42.03,82,100,38.1,overcast clouds
332,Bonito,BR,-21.12,-56.48,73.29,84,1,0.69,clear sky
333,Mkokotoni,TZ,-5.88,39.25,75.2,88,20,6.67,few clouds
334,Namie,JP,37.48,141.0,68.0,48,75,14.99,broken clouds
